,state_full,count_chicken,mean_chicken,std_chicken,skew_chicken,count_ribs,mean_ribs,std_ribs,skew_ribs,count_pork,mean_pork,std_pork,skew_pork,count_brisket,mean_brisket,std_brisket,skew_brisket,count_overall,mean_overall,std_overall,skew_overall
ri,Rhode Island,158,162.9341746835443,8.422985439407812,-0.73779362208585,157,161.6471872611465,8.991136363925776,-0.5912238937202848,157,160.80505987261154,8.597974512086836,-1.0720144661756876,157,160.26379617834402,10.05379895935429,-0.896941991717753,158,642.7216354430379,35.34676751643135,-2.8585064672063027
sc,South Carolina,906,163.92484724061725,9.407613357544982,-1.1343093984759653,931,161.76103243823775,9.942200339771427,-0.9967784169890557,934,162.72432462526697,8.175173653985087,-0.6970686886328236,898,160.50197461024456,11.351050571435959,-1.0577804764304708,918,641.8658396514161,59.808860697862045,-5.268163207967539
sd,South Dakota,556,163.92362446043148,9.2564979083522,-0.8414544371284137,554,162.65021949458475,9.630858572512748,-1.0041509752938196,555,163.58827531531497,8.450309766959235,-0.7170119761622515,553,160.93804918625662,10.786962726132304,-0.8109397614619374,556,649.5323575539566,33.04466334796796,-1.560272975646167
tn,Tennessee,2886,167.77096839917021,7.27427096384258,-1.0725097896454712,2896,166.17252914364778,7.979635882418395,-1.1816617091318369,2863,166.89281969961718,7.050331383533756,-0.8872751880815561,2731,165.746170926402,8.899602615124152,-0.8931763485685715,2749,664.1605692251717,37.58270688500094,-6.013769026769277
tx,Texas,1142,159.32427215411516,10.103186932994351,-0.6540383637025694,1129,159.17016155890096,10.648457311874415,-0.8432559606996133,1119,159.18396604110765,10.427179604065854,-0.6905076549202297,1140,156.6686221052625,11.468702525380337,-0.7152212421302359,1136,628.3852158450708,48.71280721420655,-3.5450675538940906
ut,Utah,175,162.93594514285712,8.037343641851034,-0.6027857917576497,174,160.700324137931,8.182990145840849,-0.679908587617092,176,161.15458181818187,7.825752499821825,-0.7358159346532508,176,158.91442500000005,9.92995638319582,-0.44612044044932403,176,641.2942727272726,29.83611566495009,-2.4110206377458305
va,Virginia,1544,160.9764818652831,9.403210774342403,-0.6118063322183235,1549,158.88436152356175,10.417293465806292,-0.9738559804525821,1543,159.90494620868256,9.27438182130491,-0.9329448170303107,1546,157.26267606726864,11.192899443961085,-0.6384768363054584,1553,634.2967152607857,38.571766160457855,-2.302898742084889
vt,Vermont,188,163.2512085106383,8.751480016126095,-1.2420838508863625,188,161.19414893617014,9.295148481342983,-1.4487665921144017,189,161.80805925925927,8.474721608424634,-0.5415458663949331,188,160.00080212765963,10.391103647559627,-0.88888829382131,189,643.6910116402116,40.25430464328155,-4.274302340288723
wa,Washington,123,161.24707967479682,7.674176290063773,-0.7264753582881281,123,160.28739837398376,7.76857112880329,-0.7836560503591675,123,161.43587317073172,7.13216815158413,-0.4669580480259777,123,158.21994146341467,9.582917162847021,-0.4181382983266494,123,641.1902926829272,21.576254139356394,-0.3646604726201069
wi,Wisconsin,1808,162.74412212389257,8.515543778998465,-0.6150732536937716,1814,159.87935589856525,9.34103023371614,-0.6536492350107596,1814,161.4698985667025,8.20814196394561,-0.35209707230979237,1814,159.72460661521419,10.68914596768817,-0.7735859114717673,1818,641.9853447744775,33.71710551435551,-2.475320468537093
wv,West Virginia,120,165.10646666666668,9.234780495654089,-0.9519454671766718,120,162.52630666666676,11.395427147806421,-1.9463679288751483,120,163.4561766666667,8.239182605749162,-0.42543866038969785,120,162.14971999999995,11.259430650692243,-1.172312613269807,120,653.2386700000001,31.023659619620158,-1.1822384688751184
wy,Wyoming,382,162.98159057591627,9.447293750948415,-0.7373592537481699,384,161.79351562499997,10.014043110036871,-0.7040706112505141,380,161.35246947368427,10.097011843021468,-0.7827443281315903,382,158.4289853403142,11.535693560332419,-0.693967285320003,384,641.5142927083333,39.83826704793403,-1.7672798518895014
